username,full_text,label
pri_rakhman,@DokterTifa Negara msh miskin pejabat pd korup pula. Pola pikir menggampangkan proses...akibat jargon kerja3x ga pake mikir...halu lah bikin IKN dlmn 2 thn.,Negatif
silviapurnama28,@KoalisiNetizen Cuaca gak jadi masalah dengan Modifikasi Cuaca di IKN Nusantara DukungPembangunanIKN #IbuKotaNegara,Positif
derajatcece,@KoalisiNetizen BMKG inovasi parah buat Modifikasi Cuaca di IKN Nusant,Negatif
afka2704,@RagilSemar Piknik ke IKN,Netral
darkknight_id,@Boediantar4 @jokowi ini yang harusnya kau ajak ke ikn,Netral
Naryosune,@G4b0nG0ku Ayooo tinggal di IKN 190 th biar tambah ramee,Netral
kompascom,Gaya Jokowi Motoran Bareng Raffi-Gading di IKN Resmikan Jembatan Pulau Balang | #Jokowi #IKN https://t.co/8wjGdl7XMR,Netral
SIstiatuti,@RajaJuliAntoni @jokowi Baguslah IKN jadi WISATA INFLUENCER...INVESTORNYA LARI KEMANA ???,Positif
papyrusdoom,Kalo lu nyumbang di web crowdfunding kan jelas tuh tujuannya ke mana entah nyumbang korban perang pembangunan rumah ibadah orang difabel Nah skrg pemerintah lumayan terbuka nih! Jd jelas uang pajak lari ke mana lumayan lah buat undang artis2 ke IKN,Positif
gempolgrow25320,@__AnakKolong @jokowi Sangat mendukung untuk berkantor di ikn selama sisa masa akhir jabatan berakhir.,Positif
paracecis08,Mereka ini yg menggaung2kan IKN ini apa ga sadar2 ya kalau tuh proyek bakalan bikin ketimpangan baru. Lu liat aja deh penyediaan SPAM kemarin ngalirnya ke IKN dulu coy. Trus jaringan primer yg ngelewatin desa2 warga yg gimana? Ga diurus padahal IKN belum ada penghuninya,Positif
yuda_nurdn3,@KoalisiNetizen Modifikasi Cuaca di IKN Nusantara bikin semuanya possible #DukungPembangunanIKN,Netral
OktermanLkmn,Mau tanya pa @jokowi itu sejumlah Selebritas Influencer apa ikut renteng cem-ceman untuk biaya pelesiran di #IKN ? https://t.co/yLd5Im8BTh,Netral
liputan6dotcom,Jokowi Ngantor Perdana di IKN Hari Ini https://t.co/gr9opiydNt,Positif
AinunDiamond,@sukardiyahya162 @jokowi Banyak orang benci IKN terwujud Indonesia hebat dengan jerih payahnya Jokowi Widodo dan orang orang yang mendukung pembangunan IKN terwujud Indonesia hebat ð®ð©ï¸ Alhamdulillah memang semua kalau menuju kebaikan pasti ada rin,Positif
kompascom,Pembangunan infrastruktur Ibu Kota Nusantara (IKN) terus berlanjut guna mencapai target pemanfaatan secara fungsional dalam rangka menyambut HUT ke-79 Kemerdekaan Republik Indonesia. | #IKN https://t.co/hSXhm1KGAB,Positif
Rfadlis1,@alisyarief Rupanya sdh mulai pilih2 rakyat kelas apa yg perlu diajak jalan2 ke IKN knp bkn kepala2 desa yg sdh perjuangkan suara,Positif
Tatarori80,@Hansunriko IKN Nusantarað®ð©,Netral
AwalUdin149784,@liputan6dotcom dan akhirnya pusing sendiri mau ngapain di ikn,Negatif
Saodah1234,IKN akan menjadi kota masa depan yang modern. IKN akan dilengkapi dengan infrastruktur kelas dunia. Dengan berbagai fasilitas dan infrastrukturnya IKN akan menjadi ibukota yang patut dibanggakan karena menjadi ikon kota modern dan canggih. Tanggerang KM 18 Anies PSSI Elkan https://t.co/nKpteySir6,Positif
antaranews,Presiden teken PP 29/2024 soal insentif pembebasan BPHTB di IKN https://t.co/s9fIPQlNlG,Netral
kumparan,TKA boleh bekerja di IKN tapi wajib didampingi pekerja lokal. #bisnisupdate #update #bisnis #text https://t.co/UN1mZcjSP1,Netral
abas_jo,@DokterTifa It's Make sense! Bbrp subjek pemberitaan menunjukan geliat faham komunis menguat lagi saat ini.. Di tambah dgn pemaksaan official IKN Dan bbrp hal formal lainnya disaat Mukidi injury time to powerless.. seperti sdg mengejar target tuk meledakk,Negatif
SyafiriAshari,@BebySoSweet Sudah rajin kerja bakti kah di kampung?? baru boleh boleh komentar IKN...,Negatif
a_daud_ppnp,IKN dan Diskriminasi Peserta Paskibraka untuk Melepaskan Jilbab dalam Pengukuhannya https://t.co/97x3m29iWh,Netral
sodolatido,asha keren bgt bangga bgt bisa kenal sm yg bawa baki di upacara IKN nanti,Positif
oddlymelancholy,@plisitin IKN yang mahal adalah IKN ARWN,Negatif
HannaKi95909389,@pejuanganggaran @JukiHoki Kan IKN disiapkan untuk warga Cina Singapura bukan untuk Indonesia Apa ada wacana negara dlm negara spt vatikan?,Negatif
tiarafaz,Mana gubernur benerannya? Atau pejabat/presidennya? Tidur di rumah2 dinas mereka yg super mewah di IKN lah,Negatif
yeeerich,@LDHfurin DEMI ALLAH U DIVING SAMPE IKN KAH,Negatif
omsenank1,@Boediantar4 Posisi istana presiden itu di bukit paling tinggi di ikn 80 m dpl. Kalo istana banjir ya berarti seluruh ikn tenggelam donk,Negatif
gilinganbesi,@ethadisaputra Biar fokus orang ke sini.. ngga bahas ketimpangan nanti di IKN.,Negatif
dwimasmaheswara,indonesia kalo perang burung garuda ikn bisa berubah jadi megazord,Negatif
Putri96960977,Karena banjir lumpurnya sudah masuk kompleks IKN maka lantainya dilapisi plastik agar tidak kotor. https://t.co/WOr2CXkywq,Negatif
rasa2086,Pembangunan IKN dinilai merupakan satu kesempatan bagi generasi muda untuk ikut berperan dalam pelaksanaan pembangunan.Â IKN membuka ruang baru kalau di Jakarta kan sudah penuh kalau mau lakuin satu gagasan yang baru sudah sulit untuk dikembangkan. PSSI Undip MUFC Jokowi CPNS https://t.co/eebp0Qqp4T,Positif
BiLLYKHAERUDIN,Pengen terlihat keren tapi telo... Nama Tempat di IKN dan Persoalan Bahasa. Baca di https://t.co/Ugyt2Wa5u4 Akses Harian Kompas praktis kapan saja dan dari mana saja lewat aplikasi. Unduh sekarang!,Netral
kohiholik,Terimakasih BMKG dengan adanya megatrust issue ini akhirnya ada alasan untuk pindah ke ikn.,Netral
mamagemoybiasa,jadi selama ini bajer hipokrid bosok penyakitan gak bisa bedain ujan nya di daerah Balikpapan or IKN kalian pikir satu tempad followers bejibun tapi otak gak punya suka hoax giring opini sesad ke netijen gak layak nulis influencer di bio cocok nya sbg pengadudomba medsos https://t.co/Hu9VgXqNCh,Negatif
illaacc,mau ke ikn jg wehh,Netral
PuangRahmang,@AiraNtieReal Yaudah merger aja ; satu cv buat roti satunya cv buat kopinya ketemunya di 79 hut ri di ikn,Positif
socjavanese,@sonqyuvin @rizkidwika bandingkan jkw cuma 10 tahun aja daya rusaknya segini dahsyatnya UU diobrak abrik cuma buat anaknya. dia ga cuma kriminal tp penjahat konstitusi,Negatif
ilhamabelhakim,@shiroishi__ Gas IKN,Netral
onalnero,@urfav0ritesin_ otw ikn,Netral
matchaaayummyyy,@bulumonyettt BANGUN LIAT UPACARA IKN DI TV,Netral
PengamatFilm01,@sukma_jati__ @__AnakKolong @KSPgoid Ini bukan banjir ya tapi salah satu wahana dan atraksi air di IKN. Diharapkan dapat menarik investor untuk berinvestasi olahraga dan wisata air,Negatif
antihzero,Dinosaurusnya apa moots aku mau dong naik dinosaurus juga ke IKN,Netral
bekasjutawan,@Mdy_Asmara1701 Miliaran bayar pawang gimana? Lagi2 ni ikn baru buka udah ditolak sama Alam dan isinya. Mudaratnya emg ga habis2.,Negatif
MsElva10530471,@BANGSAygSUJUD @jokowi @prabowo @zy_zy_lestary @XiaoMei_99 @Kimberley_PS08 @OX3masRI @genx36545403 @florieliciouss @Ndons_Back @adri_7i @gtobing2903 manfaat ikn tu apa harus cpt2 siap?slow man lah apa krnanmau ngejar 17 san biar di puja puji ama org gitu,Positif
naayayshl,OMGG UPACARA DI IKN,Netral
okezonenews,Breaking News! Upacara Peringatan HUT Ke-79 RI di Istana Negara dan IKN https://t.co/0RfnEiI6V2,Netral
barbar77ultra,BARBAR77 situs slot online dengan kemenangan paling brutal!!! Di BARBAR77 RTP-nya 99% Akurat Info JP-nya Barbar WD-nya BRUTAL!!! Yang mau jadi crazy rich brutal langsung aja daftar &amp; main di BARBAR77!!! https://t.co/9fRZw3CXkh #HUT_RI_79 #IKN #Undip https://t.co/QIcYOZNuLj,Negatif
NusantaraJaya26,@Tatarori80 Top IKN,Positif
KenzoBaruki,@NenkMonica Mestinya adat Dayak krn itu tuh tanah Dayak ((IKN)),Netral
airinaaa0307,Liat berita presenternya bilang orang-orang yang bukan morning person pun pada bangun pagi untuk menikmati hari kemerdekaan ini BENER ANJIR rencana hari ini mau bangun siang karena weekend tapi tetep kebangun jam 6 pagi juga pingin liat upacara IKN,Positif
ethevreals,Jalanan kmarin rame ternyata pada mau ke ikn,Positif
KhuzaimiEm19733,@Aryprasetyo85 @JhonSitorus_18 @NgkongRoses @nongandah @GunRomli @AnakTangsiAD @Anak__Ogi @Muhayya__ @seruanhl @BiLLRaY2019 Siap berangkat ke lPapua sana.klo siap mati demi jokowi.klo masih selamat nanti bisa tinggal di ikn.,Positif
donidian41,@Chavesz08 Yang disangsikan Ahok adalah bank gak mungkin mengijinkan DP 0% FAKTA nya sejak di DKI membuat DP 0% bahkan sekarang di luar jakarta juga ada koq perumahan subsidi yang DP 0%. Kamu menghina sumur resapan tapi nyatanya dipake di IKN.,Negatif
ntneptun,@BosRiyan Mirip gedung IKN kalau dari jauh,Netral
Hahaaha22197299,@pirnek01 @OmJ_JeNggot @prabowo Buang air kelaut kalau ngadu sama beliau bukannya beliau jg punya banyak proyek di IKN? .. kita berdoa semoga ada yg serius bisa menangani masalah negara dan Bangsa ini.. kalau blm ada.. berarti kita akan nikmati sama sama,Positif
wisnu_triwiyono,@secr3thm4nz56 Mana itu panglima dayak yg kemaren mau mati2an bela IKN? Lagi spa kah?,Netral
thgrthendowski,@sorCXpii @naufalfalahfal @BudiBukanIntel Jauh IKN sama kalteng mah,Positif
Edis5067S,@NgkongRoses Bisa ndak ya nanti DPR periode berikut mengeluarkan UU pengembalian Jakarta menjadi Ibu Kota Negara dan menunda IKN sebagai ibu kota negara.,Netral
iyoodon,otw daftar cpns ajjjgg gas pindah ikn,Netral
OrangutanIKN,@YahyaCStaquf Organisasi Islam terbesar dibawah kepemimpinan loe jd ambyarr!!,Netral
OrangutanIKN,@YahyaCStaquf Loe aja mau ngebegal @DPP_PKB sama sodara sendiri aja ga bisa damai jgn banyak gimmick lah staquf. Loe keluarga kyai bukan..anak kyai menurut gue ga ky kalian ga staquf ga si mantri yg lagi dikasus!!!,Positif
OrangutanIKN,@YahyaCStaquf Satu kata buqt loe : K.O.N.T.O.L,Netral
RayenHanjaya,@Galaxiesh_ Negara butuh dana untuk IKN apapun itu...,Netral
AsharIbnu,@de_fatah @jokowi De Fattah.. km Badut yg Botol.. Jokowi : PEMIMPIN BODOH YG DILAHIRKAN OLEH PEMILIH BODOH ...yaa seperti si De Fattah ini... JKW membangun negeri...?? ... preeetttt... Jalan tol KCJB IKN ... dst hanya dinikmati orang kaya saja TDK ada man,Negatif
OrangutanIKN,@de_fatah @RaintRico @jokowi Hahaha...loe bisa baca data ga??? Haddeuuhh...buzzeRp modal jempol nih!!,Positif
OrangutanIKN,@de_fatah @RaintRico @jokowi Iyalahh tong makin byk respon loe makin keliatan bodoh aja loe tong. Masa dgn hutang menggunung tsb pengangguran meningkat ya mesti menurunlah.,Positif
fahru_23,@_Raa_F @Sunyisejati @de_fatah @jokowi covid abis skitar 1 9k T sisanya pembangunan slaah lu nanya nya harusnya lu bisa naik tol ga bisa naik KCIC ga ato bisa jalan jalan di IKN ga,Netral
xunloveablex,Tinggi : tidak setinggi ekspetasi masyarakat terhadap hasil pemilu 2014 BB : hampir seberat beban utang IKN Zodiac : Dharma Pongrekun Suku : Kerajaan Ubur-ubur Umur : Hampir masa jabatan orba Pengalaman pacaran : dijegal pemerintah Best skill : menggocek KPK https://t.co/xSe3SEJJlw,Positif
OrangutanIKN,@de_fatah @jokowi Bodohnya cara berfikir anda dek!! Hapus..hapus...jgn keliatan bangett GOBLOKMU!!,Negatif
__anomali__,@zy_zy_lestary @adri_7i @are_inismyname @BANGSAygSUJUD @dika_maxelyou @gustavssondhela @iam_zelt @YoYoAyo17845 @Chavesz08 @Rocky_Antonie @mas_veel IKN adalah Sumber Penderitaan Rakyat Indonesia ketika Menggunakan APBN untuk Pembiayaannya.,Netral
Akomeng6,IKNð®ð© Ronaldo Mega Basah #TimnasDay #ViralVideo Gunung Kiky Wilda,Negatif
BerthaAstu32435,@Stef_Rud @GunRomli @PDI_Perjuangan Bukan masalah nyinyir..para pejabat sendri yg bilng 2bln lgi IKN melebihi jkrt Itu bikin statement nya juni kmren lho,Netral
ballambinlove,@OposisiCerdas Jokowi belum pindah ke ikn bulan juli 2024 ini secara politik tuh barang udah dagal @ridwankamil ! kok bisa? Karena yg bicara itu bukan sembarang orang tapi seorang oreyyg omongannya di kutip orang dalam dan luar negeri jadi indikasi yang k,Positif
sentereus,@udapinto_ @ardisatriawan Pindahkan IKN ke padang mahsyar.,Netral
TAdiwiguno,@msaid_didu Infrastruktur tidak terfokus mainnya serampangan Maksa bangun IKN hingga muncul gosip anggaran di kementerian/lembaga dipotong hingga 20% utk pembangunan IKN Padahal dgn duit sebanyak itu harusnya mampu utk menurunkan harga barang dan menguatk,Negatif
pranaladotco,Tol Balikpapan ke IKN Hampir Selesai https://t.co/SmpiCsFdob,Positif
satrio_roiaisas,@tempodotco Kemarin katanya kekeringan sampai berebut air dgn warga lokal aneh nih IKN berkasus oke gass oke gass,Positif
VL4dsyAriF,@ardisatriawan Kan ada Mba Rara. Kenapa gak undang Mba Rara untuk menangkal hujan di IKN?,Netral
troyandi,@kompascom Ingat kata kata kami 20 tahun kemudian semua pasti membenarkan pak Jokowi membangun ikn adalh tepat yg merasakan manfaat adalah anak cucu kita,Positif
alnauta_sabinah,@aminun40 Selalu berdo'a agar ikn segera selesai dan menjadi magnet baru bagi wisata Indonesia,Positif
Saodah1234,PLN berkomitmen penuh menyiapkan sistem kelistrikan andal di IKN dengan mengusung konsep teknologi state of the art berbasis pada pasokan listrik berteknologi pintar indah dan ramah lingkungan. ___ Ronaldo Mega Basah #TimnasDay #ViralVideo Gunung Kiky Wilda https://t.co/ORA1OYvxxy,Positif
SajaSa7550,@NabilaAr__ @T0M5helby Ke ikn bapak yang hatinya bening.... bapak bening ga liat ya pak,Positif
_seoulrabaya,DIFC telah menjalin kemitraan strategis dengan OIKN dengan menandatangani MoU di Dubai Yg mana MoU ini menandai tonggak penting bagi Indonesia dalam menjadikan IKN sebagai pusat keuangan internasional yg terkemuka. ___ Ronaldo Mega Basah #TimnasDay #ViralVideo Gunung Kiky Wilda https://t.co/krt7FTBhd4,Positif
alfatih212426,Harusnya kejar Mega koruptor untuk danai IKN https://t.co/SWwmRn0G3y,Netral
